orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently
4758529,Unit 960 - 209 Fort York Boulevard ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,526.0,,,,2.0,0.0,,,,526.0,,0.0,1
4758529,Unit 4604 - 386 Yonge Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,226.0,,,,1.0,0.0,,,,226.0,,0.0,1
4758529,Unit 3506 - 15 Mercer Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,-1.0,,,,426.0,,,,1.0,1.0,,,,426.0,,0.0,1
4758529,264 Ontario Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-9.0,-4.0,,,,-1574.0,,,,9.0,4.0,,,,1574.0,,0.0,1
4758529,Unit 1606 - 55 Mercer Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,3.0,,,,,926.0,,,,3.0,,,,,926.0,,0.0,1
4758529,Unit 619 - 55 Merchants' Wharf ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,1.0,,,,626.0,,,,1.0,1.0,,,,626.0,,0.0,1
4758529,Unit 4306 - 85 Queens Wharf Road ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-1.0,,,,76.0,,,,1.0,1.0,,,,76.0,,0.0,1
4758529,Unit 2112 - 365 Church Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,Unit 37 - 17 Pembroke Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,426.0,,,,1.0,0.0,,,,426.0,,0.0,1
4758529,Unit 2407 - 14 York Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,626.0,,,,1.0,0.0,,,,626.0,,0.0,1
4758529,Unit 808 - 393 King Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,626.0,,,,2.0,1.0,,,,626.0,,0.0,1
4758529,Unit 1008 - 14 York Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,926.0,,,,1.0,0.0,,,,926.0,,0.0,1
4758529,Unit 3111 - 80 John Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,-124.0,,,,1.0,0.0,,,,124.0,,0.0,1
4758529,Unit 306 - 12 York Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,626.0,,,,1.0,0.0,,,,626.0,,0.0,1
4758529,Unit 2414 - 763 Bay Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,4.0,,,,,926.0,,,,4.0,,,,,926.0,,0.0,1
4758529,Unit 2615 - 55 Mercer Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
4758529,Unit 3013 - 11 Wellesley Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,1.0,,,,926.0,,,,2.0,1.0,,,,926.0,,0.0,1
4758529,732 Adelaide Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-1.0,,,,-124.0,,,,0.0,1.0,,,,124.0,,0.0,1
